Price_euros,Company,Ram,Memory,Cpu,Gpu,Inches,Weight
384.00,Acer,4GB,1TB HDD,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,15.6,2.4kg
767.80,Dell,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,AMD Radeon 520,15.6,2.13kg
439.00,HP,4GB,128GB SSD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,1.91kg
586.19,Asus,4GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,2kg
2449.00,MSI,16GB,256GB SSD +  2TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,17.3,2.43kg
415.00,Asus,4GB,256GB SSD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,2kg
1299.00,Dell,16GB,256GB SSD +  2TB HDD,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,17.3,2.8kg
879.00,Dell,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,14,1.7kg
599.00,Lenovo,8GB,256GB SSD,Intel Core i3 7130U 2.7GHz,Intel HD Graphics 620,14,1.7kg
941.00,Asus,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,14,1.4kg
690.00,HP,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,1.86kg
1983.00,Asus,16GB,512GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,15.6,1.8kg
438.69,HP,4GB,500GB HDD,Intel Core i3 6006U 2GHz,AMD Radeon 520,15.6,1.86kg
229.00,HP,4GB,32GB SSD,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,14,1.44kg
549.00,Lenovo,4GB,1TB HDD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,1.9kg
949.00,Asus,12GB,1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,17.3,3kg
1089.00,Microsoft,4GB,128GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13.5,1.252kg
955.00,Dell,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,13.3,1.4kg
870.00,Dell,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,15.6,2.2kg
1095.00,MSI,8GB,128GB SSD +  1TB HDD,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,17.3,2.7kg
389.00,Acer,8GB,1TB HDD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,14,2.1kg
949.00,Asus,8GB,1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,15.6,2.2kg
519.00,Lenovo,8GB,2TB HDD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,2.2kg
855.00,Dell,8GB,128GB SSD +  1TB HDD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,15.6,2.02kg
530.00,Acer,4GB,1TB HDD,Intel Core i3 7130U 2.7GHz,Nvidia GeForce MX130,15.6,2.2kg
977.00,HP,8GB,128GB SSD +  1TB HDD,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 930MX,17.3,2.5kg
1096.16,Dell,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,15.6,1.88kg
1510.00,Apple,8GB,512GB SSD,Intel Core i5 1.3GHz,Intel HD Graphics 615,12,0.92kg
860.00,HP,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel HD Graphics 620,14,1.63kg
399.00,Lenovo,4GB,128GB SSD,AMD A6-Series 9220 2.5GHz,AMD R4 Graphics,15.6,2.2kg
395.00,Acer,4GB,1TB HDD,AMD A9-Series 9420 3GHz,AMD Radeon R5,15.6,2.1kg
1349.00,Dell,16GB,128GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,15.6,2.65kg
699.00,HP,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce GTX 940MX,15.6,1.83kg
598.99,HP,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,1.96kg
1449.00,Asus,16GB,128GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,15.6,2.2kg
1649.00,Dell,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13.3,1.21kg
699.00,Asus,8GB,1TB HDD,AMD FX 9830P 3GHz,AMD Radeon RX 560,15.6,2.45kg
689.00,Acer,8GB,1TB HDD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,15.6,2.2kg
1197.00,HP,16GB,512GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13.3,1.49kg
1195.00,Dell,8GB,256GB SSD,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1060,15.6,2.65kg
1049.00,Asus,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,14,1.25kg
847.00,Acer,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,13.3,1.5kg
599.90,Dell,8GB,1TB HDD,Intel Core i7 7500U 2.7GHz,AMD Radeon R5 M430,15.6,2.2kg
485.00,Dell,4GB,256GB SSD,Intel Core i3 6006U 2GHz,AMD Radeon R5 M430,15.6,2.2kg
577.00,Asus,6GB,256GB SSD,Intel Core i3 7100U 2.4GHz,Nvidia GeForce 920M,15.6,2kg
1249.00,HP,12GB,128GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,15.6,2.62kg
719.00,HP,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,AMD Radeon 530,15.6,1.91kg
349.00,HP,4GB,500GB HDD,AMD E-Series E2-9000e 1.5GHz,AMD Radeon R2,15.6,2.1kg
647.00,Dell,8GB,1TB HDD,Intel Core i5 8250U 1.6GHz,AMD Radeon 520,15.6,2.2kg
1119.00,HP,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,Nvidia GeForce MX150,13.3,1.38kg
1340.00,Microsoft,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13.5,1.252kg
659.00,HP,6GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,14,1.58kg
414.90,Lenovo,4GB,1TB HDD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,1.85kg
1193.00,Asus,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,14,1.3kg
1299.00,MSI,16GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,15.6,2.2kg
1480.00,Lenovo,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,14,1.58kg
1262.00,Asus,16GB,256GB SSD +  1TB HDD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,15.6,1.5kg
1379.00,Dell,8GB,256GB SSD,Intel Core i7 7560U 2.4GHz,Intel Iris Plus Graphics 640,13.3,1.23kg
1399.00,Lenovo,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13.3,1.37kg
722.00,HP,4GB,500GB HDD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,14,1.63kg
1629.00,Dell,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,13.3,1.21kg
1398.99,HP,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,13.3,1.26kg
1084.00,HP,8GB,512GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,14,1.63kg
1130.33,Dell,8GB,256GB SSD +  1TB HDD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 940MX,15.6,2.16kg
564.00,Asus,4GB,1TB HDD,Intel Core i3 6006U 2GHz,Nvidia GeForce 920MX,17.3,2kg
1118.00,Asus,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 940MX,15.6,1.7kg
479.00,Acer,6GB,1TB HDD,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,15.6,2.1kg
2241.50,MSI,16GB,256GB SSD +  2TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,15.6,1.8kg
629.00,Lenovo,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,15.6,2.2kg
1271.00,HP,16GB,512GB SSD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 930MX,17.3,2.5kg
451.00,Acer,4GB,256GB SSD,AMD A9-Series 9420 3GHz,AMD Radeon R5,15.6,2.1kg
259.00,HP,4GB,500GB HDD,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,15.6,1.86kg
812.00,HP,8GB,1TB HDD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,14,1.63kg
277.99,Asus,4GB,64GB SSD,AMD E-Series 6110 1.5GHz,AMD Radeon R2,14,1.65kg
1396.00,Dell,16GB,256GB SSD +  2TB HDD,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,17.3,2.8kg
928.00,HP,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,17.3,2.5kg
638.99,Dell,8GB,1TB HDD,Intel Core i5 7200U 2.5GHz,AMD Radeon R7 M445,15.6,2.36kg
449.00,Dell,4GB,1TB HDD,Intel Core i3 6006U 2GHz,AMD Radeon R5 M430,15.6,2.2kg
884.00,Acer,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,14,1.6kg
572.00,Acer,4GB,256GB SSD,Intel Core i3 7130U 2.7GHz,Nvidia GeForce MX130,15.6,2.2kg
598.00,HP,8GB,1TB HDD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,15.6,2.05kg
988.00,HP,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,14,1.63kg
252.36,Lenovo,4GB,1TB HDD,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,15.6,1.9kg
938.00,Asus,8GB,128GB SSD +  1TB HDD,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,17.3,3kg
499.00,Lenovo,4GB,1TB HDD,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 920MX,15.6,2.2kg
699.00,HP,4GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13.3,1.32kg
655.00,Acer,4GB,1TB HDD,Intel Core i3 7130U 2.7GHz,Nvidia GeForce MX130,17.3,3kg
1116.02,Lenovo,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,AMD Radeon RX 550,14,1.75kg
869.00,Lenovo,8GB,256GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050M,15.6,2.4kg
602.00,Toshiba,4GB,500GB HDD,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,15.6,2.1kg
369.00,HP,4GB,256GB SSD,AMD A6-Series 9220 2.5GHz,AMD Radeon R4 Graphics,15.6,1.86kg
1099.00,Asus,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,14,1.25kg
2014.00,HP,8GB,512GB SSD,Intel Core M 6Y75 1.2GHz,Intel HD Graphics 515,12.5,0.97kg
344.00,Asus,4GB,1TB HDD,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,15.6,2kg
2029.00,MSI,16GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,17.3,2.9kg
447.00,Acer,4GB,1TB HDD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,2.1kg
1249.26,Dell,16GB,512GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,15.6,2.56kg
899.00,Dell,8GB,1.0TB Hybrid,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,15.6,2.62kg
498.00,Lenovo,4GB,128GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,1.9kg
1890.00,MSI,16GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,17.3,2.8kg
1082.00,HP,4GB,256GB SSD,Intel Core i5 7500U 2.7GHz,Intel HD Graphics 620,14,1.48kg
619.00,HP,6GB,256GB SSD,Intel Core i5 8250U 1.6GHz,AMD Radeon 520,15.6,1.91kg
629.00,Lenovo,4GB,256GB SSD,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,14,1.74kg
1315.00,Asus,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel HD Graphics 620,13.3,1.1kg
1049.00,Dell,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,15.6,1.56kg
447.00,Toshiba,4GB,500GB HDD,Intel Core i3 6006U 2.2GHz,Intel HD Graphics 520,15.6,2.1kg
403.00,Asus,4GB,1TB HDD,AMD A9-Series 9420 3GHz,AMD Radeon R5 M420,15.6,2.03kg
805.00,Acer,4GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Nvidia GeForce MX150,17.3,3kg
728.00,Dell,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,AMD Radeon 520,15.6,2.13kg
1079.00,Lenovo,16GB,256GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,15.6,2.5kg
348.00,Acer,4GB,1TB HDD,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,15.6,2.1kg
1799.00,MSI,16GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,15.6,2.4kg
363.51,Acer,4GB,1TB HDD,Intel Pentium Quad Core N4200 1.1GHz,Intel HD Graphics 505,15.6,2.1kg
1060.49,Dell,8GB,128GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,15.6,2.56kg
854.00,Acer,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Nvidia GeForce MX150,17.3,3kg
754.00,HP,4GB,500GB HDD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,13.3,1.49kg
1349.00,Huawei,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13,1.05kg
699.00,HP,6GB,2TB HDD,Intel Core i5 7200U 2.5GHz,AMD Radeon 520,17.3,2.71kg
309.00,Lenovo,4GB,500GB HDD,AMD A6-Series 9220 2.9GHz,AMD Radeon R4 Graphics,15.6,2.2kg
489.00,Toshiba,4GB,500GB HDD,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,15.6,2kg
923.00,HP,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 930MX,17.3,2.5kg
459.00,Dell,8GB,1TB HDD,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,15.6,2.3kg
449.00,Acer,4GB,128GB SSD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,2.1kg
2799.00,MSI,32GB,512GB SSD +  1TB HDD,Intel Core i7 6920HQ 2.9GHz,Nvidia GTX 980 SLI,18.4,4.4kg
813.00,Lenovo,8GB,128GB SSD +  1TB HDD,Intel Core i5 7200U 2.5GHz,AMD R17M-M1-70,15.6,1.90kg
1499.00,HP,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,13.3,1.29kg
1049.00,Dell,16GB,256GB SSD +  2TB HDD,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,15.6,2.02kg
1399.00,Dell,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,13.3,1.23kg
1849.00,Lenovo,16GB,512GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13.9,1.4kg
793.00,Toshiba,8GB,128GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,2.0kg
1199.00,Xiaomi,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Nvidia GeForce MX150,15.6,1.95kg
1549.00,Dell,16GB,512GB SSD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 150MX,17.3,2.77kg
2397.00,Dell,16GB,512GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,15.6,2.06kg
779.00,Lenovo,8GB,256GB SSD,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,15.6,2.4kg
989.00,Acer,8GB,256GB SSD,Intel Core i5 7Y54 1.2GHz,Intel HD Graphics 615,13.3,1.12kg
1085.00,Dell,8GB,128GB SSD +  1TB HDD,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,17.3,2.8kg
2824.00,Lenovo,16GB,1TB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,14,1.42kg
260.00,Vero,4GB,32GB Flash Storage,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,14,1.3kg
999.90,Xiaomi,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Nvidia GeForce MX150,13.3,1.3kg
698.00,Lenovo,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Nvidia GeForce MX150,17.3,2.8kg
839.00,Dell,8GB,1TB HDD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13.3,1.62kg
914.00,HP,8GB,1TB HDD,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 930MX,17.3,2.5kg
6099.00,Razer,32GB,1TB SSD,Intel Core i7 7820HK 2.9GHz,Nvidia GeForce GTX 1080,17.3,3.49kg
959.00,HP,8GB,512GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,13.3,1.49kg
1379.00,HP,16GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,17.3,3.35kg
1045.00,HP,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 930MX,17.3,2.5kg
1845.00,Dell,16GB,512GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,15.6,2.65kg
493.00,Lenovo,4GB,128GB SSD,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,15.6,2.1kg
742.00,Acer,8GB,1TB HDD,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,15.6,2.23kg
1749.00,Lenovo,16GB,512GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,15.6,3.2kg
3055.00,Dell,16GB,256GB SSD +  1TB HDD,Intel Xeon E3-1505M V6 3GHz,Nvidia Quadro M1200,15.6,2.8kg
1398.00,Lenovo,16GB,512GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,15.6,2.4kg
439.00,Dell,6GB,1TB HDD,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,15.6,2.3kg
1949.00,Dell,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13.3,1.21kg
1449.00,Dell,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13.3,1.2kg
597.00,Lenovo,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,2.2kg
779.00,Acer,8GB,1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,15.6,2.4kg
1407.00,Asus,16GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,17.3,2.9kg
349.00,HP,4GB,500GB HDD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,2.1kg
549.00,Lenovo,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,2.2kg
1499.00,Huawei,8GB,512GB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,13,1.05kg
931.88,Dell,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,13.3,1.4kg
589.00,Lenovo,8GB,1TB HDD,Intel Core i5 7200U 2.5GHz,Nvidia GeForce GTX 940MX,17.3,2.8kg
1031.00,HP,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 930MX,14,1.63kg
1149.00,Dell,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,14,1.6kg
1279.00,Dell,16GB,512GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13.3,1.62kg
677.35,Dell,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,AMD Radeon 520,15.6,2.2kg
899.00,Lenovo,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,14,1.74kg
