Potability,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,ph
0,25461751866421600,9624300462110110,7954015627092470,34840819490164000,34430336252225800,7935467758332200,7810854981556720,5525726338121710,8858401531200460
0,189995845993418,27776901051693300,64430978778694500,3479304004157370,24585963197125200,1463688225637750,7342463245501650,39773623643299700,609815652147278
0,18571898879367,13237989604570800,3998265840980650,3081426388528510,46364727737284100,1720956505547080,4878311165978780,3962478314282770,841997068212899
0,2226615513815930,12311268365978000,7289866041052640,3322393594928600,35374009999706400,14171762565335400,,5239981870081680,9286155021432370
0,22628478781681200,12710249451611700,73031265831516500,3464032581373670,4453741474328590,6063461912529130,6312804403102220,4238589203481520,7875895135481780
0,25226549119785600,36477738112419000,838676100823379,4265435897565110,33941132665631400,17485844248946000,6048388466227110,37248367036446900,77253329080747500
0,2120289444657200,20230125576951700,8569781529733310,34915599871275100,3539129274416650,18208339671899800,8238787399017330,2798600948267040,3388090610523890
0,21842463701923300,21871838700042400,7165509192468920,,37305010163921300,16826619464762300,7408607997264360,39023525898765000,6745306715080950
0,19042389854156600,28062641892040300,9615147026994790,3572267094963160,26377191350453700,1344522519676090,6705555840299210,56290156360573200,
0,26185079976925200,14100968986979900,9008495193731890,3587247021216800,2904238383652440,1714990712568710,8202511580240520,4597165511526860,7183825723393180
0,2404321002291380,15331302691753100,5392651282023050,36190292619839700,4030418101498440,1613112428701450,6111114633827720,3425763242173680,10111976704648600
0,12254103985982500,8855114121331360,6888688939098400,24160753233585000,48985160040482500,13365906195266200,,3149157510432670,7397413298543410
0,19658388603095600,42550841815771700,7334647639669250,,44254577454824400,14666917242315600,,6204846358828900,7812804388310300
0,13687921387078700,27433587294151700,7091521514260430,3073970883038850,3421963466344730,18403845830232900,8119341217121220,38276500717354400,6877456932576710
0,1469702452251050,16367458371975400,7687037185889340,,46894501475022600,1860138073373630,4956196889416340,4664350321001550,
0,23080948246855600,27418781044480000,7136498391730540,3693100077981300,27466059655361400,9578584600170410,7237690878332550,4197595209206810,
0,26705964744893000,2686537374090520,10449450309656700,,50570937170147900,16237745770905600,5703778017043310,28807853472938300,7521051678672170
0,2312487868055430,28918419953077100,7822528490547920,369264222748674,43228527002719300,16266296687636800,7314946432483580,37728866074587600,8550875469289330
0,2172197464316330,27653235184410600,8912266340684620,3695312063532320,3829515048389690,6580401550826250,5957603991058590,3285077052469840,10308477656813700
0,25267046903410000,29368674184052200,9906146627223740,4339522119479900,4652166206201470,13221033634237400,8419860653327540,5052736766116990,
0,20771682442123400,24913837165890000,9616330436939960,3623001800484010,36316853841901800,11542661782175100,6772070437929210,44125895367028100,7371085073209560
0,22830086036125300,16600392746647000,60940005305237900,,5040505391333050,15035046907486400,11073929934431200,38098416540991400,11180694664461900
0,20228593794959100,17087076901837200,6201982767323310,32666236831259800,48177193425228,16535185927180000,4620574791071060,35487755887477300,6506487766502460
0,1518896001137790,10909194592323000,37496251483009600,24093672213751100,4379090051656050,15264742348024000,6420396370266330,38129529259917800,6643935774662300
0,15532147750080200,3497180748262680,7121477448104930,3201154970205280,5006373261700030,18312498541935800,6319330598951370,32449484773190600,5033773989751660
0,1557404952352640,17973178859011800,4916302562031350,2759082278598390,4396480512193920,18380711926381900,555074684684337,26122489531921600,691260756198984
0,24589513040867400,3217006916009620,963563608296433,3995831549217660,4736624527645490,11728338195960700,2381701990494780,3552129499701650,7977635990880490
0,19750191189847200,3595779218259470,8130472208247290,3795277062923900,36006047735582700,2009841289135690,4186595951021340,420158090550856,6078335836509270
0,19190872954929200,28149411791622800,7130436799595520,3193067850802740,4482425267423010,19370090874546200,6093948098211980,45087050978944800,6242414484103840
0,16076731128492500,1477514559575290,7484103646670230,30582855327870000,32727023868075700,12309015955365200,6903845387066930,34673369148168500,6063354789891070
0,17789896662548100,2783421769634040,900600774687328,3344385388035780,3970214275538660,15936261676600700,8139075849624520,33625371351987900,8129585513966720
0,20201364260009200,13041829140394100,5820655207859310,3271188240167450,43338166673218600,14139065908911600,6354899265609270,37627198370300300,9562405943789520
0,20091375467195000,27141362902943400,7262416638654260,34416113431571900,5255987875011580,16142284003388200,6623143553591850,4289395484098240,8167792632308250
0,27002270585231000,15791675351127200,591269062429658,,6725569992377070,2018405147231260,54961285253429500,3568991707976400,8594416135206470
0,16738612732636100,20944620814413100,4963124049313220,,5663392939723460,1131880659612480,,36797950347550200,
0,18705170966607400,4614012684950230,6137757462086740,3527021822368810,3734272354878940,12606381646809600,587522013156628,3027449578045160,6825467900630390
0,20427424109989300,25145024124785500,7923315374812140,3382138034436880,46948696124616100,15993410350862400,8616729829337070,4157656628375070,7861177700998560
0,22084863863404000,2180274489792890,6250578031106520,3115981359666630,3864133315184270,18035237542145100,5390817735397110,34217668494012500,4965773559644960
0,19293702709690600,13442603471136600,5819022939611380,32590656176552800,5337958508176800,1468753933733600,6048503329496190,3549298841293140,6207432967614710
0,15700128743205100,20067105328107000,8071051028920460,,4909097122372670,1732294642996240,7196926138101610,4417559791016320,
0,2642656542791370,847167738143048,8349709766709020,35926854259335000,353196475487524,15047086914887900,52645458533937700,4636556195256850,976925100608684
0,1528624334841570,2364170256530380,6925706079789440,33314831765902400,417167072927369,1667018391749720,8999757421954390,4920091157959160,9630665479903340
0,10475242498882700,20060078727201100,6913910913807510,,368815428587841,15140348487780100,9865664588216380,32032578962619900,5187471605436370
0,19965299957786400,16312154973975000,9900546897053900,35856628208672000,42053417182791800,10539392269728600,10024270600375700,29270667668863700,7633570087677550
0,15505089305064100,2490944400956190,6531261269813090,2970093193941140,3137019343334320,11704788996508100,8568830345476730,4688959065495110,5771199049813680
0,1972269809109490,1765708417649320,4506293474405810,2902898942591150,25439327560480700,9847655275717840,7374971646660220,4575931871590860,6579969329401550
0,18077287075636600,13556734397114700,8977286380775290,32206244697172200,5873950117046600,12401368065703000,6202818652446980,4418638131667750,480115436807586
0,2382364096995990,19129458365440200,5851964962404880,,434655458610077,8663293700705420,6730404028450390,36922508612698100,7948815718151560
0,21678529084002400,1999123914904890,7302351651289450,34010602778835100,3564591368515820,9614106024611770,6112264362555350,21247593522163000,6906992171811650
0,2812686670205160,22452090807860600,6773698985660690,343635821280367,3953417752928900,14903080469555800,6712516777793410,4444350199227690,
0,19077945990455600,12224310506438500,4646211052742900,30856488629958300,39927135893177800,11876796669068900,6188663598802020,34631725477162500,
0,21258136638921400,3440677644574720,8679151555836660,38485538150301000,477343368601036,13801712181380300,,3771944146409470,846133087400179
0,23394786366297000,21667868741326300,6313181872058330,34027317142046400,47225899373256800,1439986001596120,3657803788764190,37206369044524100,7726134807902500
0,24766157328612300,19549499341288200,8769670289862690,,4388657751120620,16624653615400100,6494900818458930,3777737413505420,
0,24187510504564600,22821254376566500,854973827385147,36797555785867600,3801972000224390,10859287278110300,758570678201616,460186095914794,8927078148301740
0,1532211063194910,17358796365042100,821493885317026,3282820289976490,48119567347842100,1427409227521020,6271819917163480,4334615732320450,6208015539719020
0,1414924095070380,9615832709692540,762791913004187,2779517037266140,4150087368963960,16435842913307200,5069392671149390,4633823861920790,6128425635295910
0,2022548327878380,11981740191012900,9189106138402450,3399839345788820,4165889057529130,14079228347598500,62765529534567400,26789107131905700,
0,2747049504716480,14600539521891900,8105802881560640,38456485247977700,4156072777934950,16761624703623500,689372269462471,3696119711501410,7308048848275570
0,17009923566929500,3990619027101480,6554996212799910,,5153867420113480,1351607812989610,4051417236263910,43532385889712100,
0,20156872409536300,26473713238961500,6967094561617940,3523065857102100,3099832868165350,17665083383155700,6866492347632060,52631015720413700,8640886408909480
0,20550945715451900,2040692767150040,6810069234906920,3552659228857550,48233005480949800,1233777643382160,7058060722926840,41025294815021400,
0,12714489180603100,1028092949674040,5828357794463700,2676368856420800,48790832719020200,11943476580641300,9061935439214010,2905788134056520,8153210075272150
0,2061604148879130,35216385970173600,6440999765643890,34706224073011600,3994836212000170,16065667944692300,7995451096438440,39547152826707600,8293720110388860
0,23385034500527000,21136286764159200,6689877624940240,,33273758653626500,9745282008835600,7752994450694150,33108585080012600,
0,237677383112304,2600907525933060,7074531320872400,3726002964294520,34476792440431100,1444223828109800,7269624048876340,37066017915406800,
0,23406996516164700,15513740377963100,4735332223870270,,27797006973151800,1669821636919880,8142717401723860,4219967522355660,9489972878325850
0,19079904405060900,7695063934702980,48452054756401000,2925158244968420,5074454883280780,15526658445697100,8500950589690450,4588784656948850,783097634338162
0,13968575880006600,28862257169818700,896137237710277,29837945836409000,4347812670644660,172992944626111,6304250092306020,4384565155637750,4430281211546540
0,201186804455864,2378309955637770,7751285440069850,3409836833605510,5792203941324680,13486379098933200,6265023550372380,3556297467154500,7240739638887760
0,260205359611888,19517724799117600,8764168678117550,36882103684917700,25102089870586400,12804588146581200,4865189042828210,36655217644695200,
0,1741849763847290,24112153470524500,5529942235981780,2976555748707130,48412293887759000,1148268699578230,6530441362142090,38235950398688800,6867301321799130
0,2002781822057380,3098994841451820,8830102319230390,3488681540852290,34138857671477400,9300117278144340,7955361207012680,4615886181275900,6129637014813740
0,2780563209975300,2719228056064620,9220128211470370,4247879958935080,358781736184615,15054312871374600,5683960202839160,36594846248885900,7917049443177880
0,18187342172896400,29136814623869700,7685775096243830,34575163845059700,4753413506694920,12321232157466500,5243761714005610,4850433707754160,6511618075241810
0,23236857996920300,3762575267985830,8879822933865770,38057647200065100,5808977003943790,12293803052569600,5531001940953920,28807218458729300,532381558430839
0,16893707245387100,11067181147840900,7121263608584250,30579495029776200,2895424601158540,18545902961239700,6200157128395560,5220540269610250,6769572868656790
0,14161528668804900,13652293199392600,5701659125426220,2797824004075160,5384954044402170,1203404226901930,6790725800888520,40322595038243800,5877974040440470
0,2019552080399870,9472614920464730,61057084885387700,3195764201936520,25963680306558100,1562561667366290,,27682389284849600,9534021716164190
0,22502814848907000,4522250666548310,5809031561747340,3630057551139800,4355004570917770,11385937266194700,8067031136154640,36860013242472800,6340027628047590
0,28409835153725800,27088476460253000,78978565222447100,,5122773100578780,16912141580117700,7246576277365810,36704310100631800,8661592429959120
0,14659023231546900,16462460086163800,6501596204518960,2996446113791310,272440558304258,1379526446092430,8782258510995050,5198985503613210,5653506134793230
0,11229948548284600,25839894103711500,7658746878098300,3122470431487000,32724807863386900,19409146560147000,8578510283830670,4194313129305390,66260121840753000
0,17686648289401700,18344680360836100,7567676884281850,33822959726982400,3712169730014160,9039042454499450,762880763113865,4172935335264320,7793833572993550
0,26156617263863200,18371057201088200,6297542535705270,,3876295722843670,1657598077121660,5183094808424360,33773376381201400,7593127650277590
0,185692181022348,1626844860625850,53170192746088900,3169186484987870,41925844805495200,16024246090841500,6467891377195390,4408513182397490,7362736501949780
0,12982385854680200,16002138319545100,4405034532267230,27167056164356900,4998441671492050,13076858902168700,8283758290278020,420580973235456,932030544529501
0,2488592672843440,2359093212865600,7683742220804050,3515554822099030,4274959312452200,20393781666520000,3860493689531730,27183977338802800,37197916443719200
0,21644117153408800,20571845708443500,8984236816261830,,33683145481608100,17745996131265300,7170430486446320,29516447152886700,6655605025818960
0,21416623531463300,15326855914122000,3351597819645080,2970841735120900,42429283080595700,19188441382876500,7007051409613910,3355489790912580,9868877880662470
0,229192139486151,3537073551522420,7989640669861100,,4694130903674340,1328155614650230,7699271580441920,4726845016869530,5590614435866250
0,2291228285838820,31344460394369800,7761431064306920,,306872525988099,13974800466925700,8727337543049830,20959140868029400,5554436511156810
0,12547488351387300,11215945901592800,5366011335667970,26144479767930600,4452414568851870,18575920677608500,8643365536398530,44602009837552800,4126528715100220
0,23044932932431100,16324115196182300,5293918606634040,31518612058925700,3277866419581860,13325987078606100,3955424883045540,5428674071623720,5970035656942920
0,22977134953009000,16162262306607600,4933662227016630,,4488460363895050,881648689936901,,4600927568902860,
0,18350037840417800,129759003341113,6600853063787390,31590112160498800,49346543988478600,1298710649404220,8702941032035320,3629749330548910,8369154353699950
0,1900176485856820,12206681209872200,7910711202319290,,39526106339200000,13246139560404400,5892772621042980,3377132288772650,6284248242254420
0,16189636216322400,6040369868025330,7205414119605920,,3165358711402260,11768309354922800,25525266931847800,4153347001241880,1126782838471400
0,1630388345752380,13990513403071900,4249701619995490,,3994773578191070,15365883563762200,8392316814673850,36813242439844000,9298018008096010
0,15426578033555600,7769616118841750,7205262042399620,2583128793986870,40773221721960300,16420040960604600,630160175779737,4236947299515630,7895469245942450
0,26980940702116900,3444077343351380,6958283209737810,3901042228776420,42562781398964100,13749261313977300,566358113166401,37008538397050500,7947485785725740
0,22426635768460800,14962177833160700,7428313128360550,33697294962953500,5175128415432590,188585188822683,6536345158300710,4182277581713320,10026159156427400
0,2254819087637100,3486442789348470,8951692284573430,3855056353657390,32450984090751600,1269654480364060,9711286018614000,4592073570820990,648819323961521
0,20772545515980400,22244218235890600,65977643395030800,3525639869759790,46561648082479200,14838100233982500,778227370729317,4689315047790610,5869736755337520
0,22081370245025300,2141031962366420,6324879788817680,3358458627247200,3821978390094080,9500295528973760,8699013440229450,36599748117899500,
0,1609683582363080,2529951155745430,628604310963364,30050068924411100,49779039051282300,15013030334164600,61115513216060700,4165723663998690,5304142660215900
0,1869182450854360,11642727540809400,5890684293730950,,36350634426122400,10740145902620700,4957430829984220,3462763987423450,7533614822992920
0,20783804788598500,1819495413992540,7923973951449600,,2883651930524620,13306692030386700,3582455649309710,2758658531189270,407760772456597
0,10585926357195400,3792814217716670,5609440345508500,,35888876761151000,12207108489369500,7111989017420970,3873853349593970,
0,1891453776814230,4304492483085910,36158905172021000,25937332176941600,4009043496859450,12993012235980900,63902288254970900,34165397533412,70861684008433000
0,21344468499464200,24846141872428900,8372997048507220,,5433917435559850,179165263662577,8457886850787540,5303581360575860,6271012171064560
0,27673356890740400,17162398420975300,7841541552765090,397431962226721,51442172196485,14529779296031900,6055969904146050,34507458924446000,795776834399615
0,22892158718620900,284877085978243,5318731980337870,3519607231772030,47477251899981100,14683970470839200,525788600217086,4006991558563300,8875642278454440
0,19244717101882300,18257569271194700,7472249065980870,3137765457896920,46240244905277500,13932145376259900,5318591655036130,4358298340908280,
0,1411289215214310,25648569496257400,722297155669755,29523689211539100,374770315796252,14038263256862100,7429924980115890,35397711113739900,6613709117641840
0,13731816582716100,1672397724364570,7675826174302700,28253989232753500,5953292634501310,18756139371883500,6304277916472730,21486115361452700,7735705021751650
0,23871339338235500,107046031822988,6110019418331790,3515974226871130,4059001841052150,13550366565856900,5946266898344460,4703803488576940,9925041328429100
0,2029907652715340,19523124864689200,7244753274494470,33036151226896900,36649172865989800,15689404490512300,55697399521310800,4904837414733290,9002583109651110
